artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
김하온,Adios,8,10,7,Rap/Hiphop,spring,male,K_POP,Solo,0,2018.4.29,0.461538462,0.019230769,0,0.764088503,0,0.477571876,0.867515849,0,0,0,0
김하온,어린 왕자,3,6,3,Rap/Hiphop,spring,male,K_POP,Project,0,2018.4.29,0.408284024,0.067307692,0,0.764088503,0.805770363,0.477571876,0.867515849,0,0,0,0
닐로,넋두리,4,3,4,Ballad,spring,male,K_POP,Solo,0,2018.4.29,0.831360947,0.528846154,0.73,0.361357155,0.83832168,0.660567269,0,0,0,0,0
레드벨벳,피카부,8,4,8,Dance,spring,female,K_POP,Group,0,2018.4.29,0.482248521,0.019230769,0.32,0.598036374,0.829991313,0.551930308,0.814973326,0.077343679,0.009501846,0.007470677,0
멜로망스,짙어져,7,10,7,Drama,spring,male,OST,Duet,0,2018.4.29,0.74556213,0.057692308,0.9,0.305731339,0,0.613522263,0.823858906,0,0,0,0
문문,결혼,6,4,6,Drama,spring,male,OST,Solo,0,2018.4.29,0.526627219,0.057692308,0.07,0.056848844,0.824587555,0.613522263,0.867515849,0,0,0,0
방탄소년단,고민보다 Go,10,10,10,Rap/Hiphop,spring,male,K_POP,Group,0,2018.4.29,0.621301775,0.009615385,0.24,0.750274234,0,0.477571876,0.421637992,0.336909505,0.069112873,0.020682536,0
배연서,Like It,7,10,6,All,spring,mixed,K_POP,Group,0,2018.4.29,0.573964497,0.028846154,0.44,0.692199287,0,0.403231913,0.867515849,0,0,0,0
배연서,이로한,4,10,3,Rap/Hiphop,spring,male,K_POP,Project,0,2018.4.29,0.553254438,0.038461538,0.44,0.692199287,0,0.477571876,0.867515849,0,0,0,0
볼빨간사춘기,나의 사춘기에게,10,10,10,Indi,spring,female,K_POP,Solo,0,2018.4.29,0.582840237,0.384615385,0.14,0.294895127,0,0.513549813,0.442289713,0,0,0,0
볼빨간사춘기,썸 탈꺼야,7,10,7,Indi,spring,female,K_POP,Solo,0,2018.4.29,0.458579882,0.086538462,0.14,0.294895127,0,0.513549813,0.442289713,0,0,0,0
선미,가시나,10,10,10,Dance,spring,female,K_POP,Solo,0,2018.4.29,0.455621302,0.009615385,0.08,0.150190483,0,0.551930308,0.388236767,0.278142081,0.050505051,0.008423696,0
아이유,팔레트,10,10,10,Ballad,spring,female,K_POP,Solo,0,2018.4.29,0.568047337,0.182692308,0.63,0.415357,0,0.660567269,0.519573706,0,0,0,0
이병재,탓,5,10,4,Rap/Hiphop,spring,male,K_POP,Solo,0,2018.4.29,0.541420118,0.038461538,0.85,0.711717831,0,0.477571876,0.867515849,0,0,0,0
폴킴,비,10,10,9,R&B/Soul,spring,male,K_POP,Solo,0,2018.4.29,0.627218935,0.980769231,0.07,0.560714292,0,0.56680661,0.418520254,0,0,0,0
헤이즈,내가 더 나빠,6,10,5,R&B/Soul,spring,female,K_POP,Solo,0,2018.4.29,0.627218935,0.038461538,0.41,0.402220914,0,0.56680661,0.734059782,0,0,0,0
10cm,폰서트,10,6,9,Indi,spring,male,K_POP,Solo,1,2018.5.6,0.50887574,0.240384615,0.35,0.519573706,0.800945789,0.513549813,0.862313701,0,0,0,0
BLACKPINK,마지막처럼,7,2,7,Dance,spring,female,K_POP,Group,1,2018.5.6,0.553254438,0.317307692,0.09,0.492322113,0.847722256,0.551930308,0.607429507,0,0,0,0
Camila Cabello,Havana,3,6,3,Pop,spring,female,POP,Solo,1,2018.5.6,0.565088757,0.855769231,0.39,0.887519584,0.808890824,0.529332838,0,0,0,0,0
Carla Bruni,Stand By Your Man,8,8,8,Pop,spring,female,POP,Solo,1,2018.5.6,0.408284024,0.038461538,0,0.896350434,0.786453874,0.529332838,0.659684276,0,0,0,0
DEAN,instagram,4,8,4,R&B/Soul,spring,male,K_POP,Solo,1,2018.5.6,0.680473373,0.25,0.36,0.781823906,0.78897146,0.56680661,0,0,0,0,0
Ed Sheeran,Shape of You,4,10,5,Pop,spring,male,POP,Solo,1,2018.5.6,0.615384615,1,0.63,0.881302205,0,0.529332838,0,0,0,0,0
EXO-CBX,花요일,4,5,3,Dance,spring,male,K_POP,Group,1,2018.5.6,0.514792899,0.125,0.95,0.463707536,0.809830366,0.551930308,0.729622513,0,0,0,0
EXO,Universe,9,10,9,Ballad,spring,male,K_POP,Group,1,2018.5.6,0.704142012,0.259615385,0.5,0.582400283,0,0.660567269,0.729622513,0.224475017,0.036572127,0.0109966,0
Fitz & The Tantrums,HandClap,3,4,3,Pop,spring,mixed,POP,Band,1,2018.5.6,0.49408284,0.740384615,0,0.949222417,0.821520002,0.529332838,0.785895848,0,0,0,0
iKON,사랑을 했다,1,10,1,Rap/Hiphop,spring,male,K_POP,Group,1,2018.5.6,0.544378698,0.615384615,0.34,0.600761933,0,0.477571876,0.607429507,0.422711123,0.104239389,0.019982445,0
Imagine Dragons,Thunder,7,8,7,Rock,spring,male,POP,Group,1,2018.5.6,0.476331361,0.673076923,0.33,0.582400283,0.788145144,0.509299213,0.886435283,0,0,0,0
Shawn Mendes,There`s Nothing Holdin` Me Back,7,10,7,Pop,spring,male,POP,Solo,1,2018.5.6,0.514792899,0.548076923,0.41,0.856151796,0,0.529332838,0.929355717,0,0,0,0
Sondia,어른,6,3,8,Drama,spring,female,OST,Solo,1,2018.5.6,0.689349112,0.096153846,0.27,0.928462194,0.826127889,0.613522263,0.876803517,0,0,0,0
The Chainsmokers,Closer,9,10,9,Pop,spring,male,POP,Duet,1,2018.5.6,0.650887574,0.663461538,0.25,0.884615969,0,0.529332838,0.758275601,0,0,0,0
TWICE,What is Love?,1,1,1,Dance,spring,female,K_POP,Group,1,2018.5.6,0.538461538,0.5,0.63,0.618937294,0.953150128,0.551930308,0.529205473,0,0,0,0
