,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
111,10,7,Pop,spring,male,POP,Solo,1,0.514792899,0.548076923,0.41,0.8392591620000001,0.0,0.529332838,0.9369490220000001,0.0,0.0,0.0,0.0
112,10,6,Drama,spring,female,OST,Solo,1,0.689349112,0.096153846,0.68,0.992580254,0.0,0.613522263,0.910745224,0.0,0.0,0.0,0.602747636
113,10,9,Pop,spring,male,POP,Duet,1,0.650887574,0.663461538,0.25,0.869875354,0.0,0.529332838,0.777673975,0.0,0.0,0.0,0.0
114,1,1,Dance,spring,female,K_POP,Group,1,0.538461538,0.5,0.71,0.598036374,0.9425597520000001,0.551930308,0.45057145,0.0,0.0,0.0,0.0
115,2,5,Dance,spring,male,K_POP,Group,1,0.467455621,0.317307692,0.48,0.84238977,0.851227229,0.551930308,0.796577393,0.0,0.0,0.0,0.0
116,2,2,Rap/Hiphop,spring,male,K_POP,Group,1,0.532544379,0.182692308,0.65,0.938093961,0.8570021459999999,0.477571876,0.680335997,0.0,0.0,0.0,0.0
117,5,4,Ballad,spring,male,K_POP,Group,1,0.627218935,0.490384615,0.68,0.53842725,0.820304351,0.660567269,0.283488333,0.0,0.0,0.0,0.0
118,1,1,Rap/Hiphop,spring,male,K_POP,Solo,1,0.618343195,0.46153846200000004,0.0,0.660713632,0.890223282,0.477571876,0.910745224,0.0,0.0,0.0,0.0
119,10,9,R&B/Soul,spring,male,K_POP,Solo,1,0.74556213,0.028846154,0.75,0.628677319,0.0,0.56680661,0.7355189059999999,0.334241207,0.06818181799999999,0.023641619,0.0
120,1,1,Ballad,spring,male,K_POP,Solo,1,0.75443787,0.923076923,0.52,0.305731339,0.7771055440000001,0.660567269,0.277551548,0.0,0.0,0.0,0.0
121,2,4,Dance,spring,female,K_POP,Group,1,0.547337278,0.173076923,0.21,0.5966606289999999,0.867050395,0.551930308,0.739838233,0.052947925,0.006220663,0.006643283000000001,0.0
122,10,1,Ballad,spring,mixed,K_POP,Project,1,0.609467456,0.586538462,0.35,0.25203043,0.0,0.660567269,0.948679362,0.0,0.0,0.0,0.0
123,3,2,Ballad,spring,male,K_POP,Solo,1,0.659763314,0.509615385,0.07,0.07290649,0.8385419159999999,0.660567269,0.763450272,0.456684004,0.121362883,0.041005207,0.0
