rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
8,10,7,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.24,0.418,0,0.39452528860234637,0.184,0,0,0,0
4,8,4,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.46,0.431,0.020560747663551402,0.39452528860234637,0.124,0,0,0,0
9,10,7,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.31,0.395,0,0.39452528860234637,0.253,0,0,0,0
1,1,10,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,1,0.88,0.0916926272066459,0.39452528860234637,0.11699999999999999,0,0,0,0
6,8,5,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.31,0.5489999999999999,0.020041536863966772,0.39452528860234637,0.141,0,0,0,0
5,7,4,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.31,0.47700000000000004,0.02315680166147456,0.39452528860234637,0.243,0,0,0,0
10,10,10,댄스,winter,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.27,0.26,0,0.6968535468484371,0.028999999999999998,0,0,0,0
7,10,6,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.24,0.418,0,0.39452528860234637,0.035,0,0,0,0
2,2,2,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.42,0.39899999999999997,0.05379023883696781,0.39452528860234637,0.172,0,0,0,0
10,10,9,댄스,fall,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.19,0.37799999999999995,0,0.5031682970704731,0.028999999999999998,0,0,0,0
3,5,3,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.46,0.431,0.03811007268951194,0.39452528860234637,0.033,0,0,0,0
9,10,10,댄스,winter,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.25,0.62,0,0.6968535468484371,0.071,0,0,0,0
6,9,6,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.24,0.39799999999999996,0.016926272066458983,0.39452528860234637,0.046,0,0,0,0
10,10,10,댄스,winter,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.51,1,0,0.6968535468484371,0.038,0,0,0,0
2,2,1,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.39,0.5,0.06863966770508827,0.39452528860234637,0.184,0,0,0,0
10,10,9,댄스,winter,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.23,0.535,0,0.6968535468484371,0.10400000000000001,0,0,0,0
10,10,10,댄스,winter,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.15,0.42200000000000004,0,0.6968535468484371,0.09699999999999999,0,0,0,0
4,6,3,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.48,0.379,0.03302180685358255,0.39452528860234637,0.08800000000000001,0,0,0,0
3,4,2,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.32,0.478,0.043821391484942886,0.39452528860234637,0.185,0,0,0,0
10,10,9,댄스,fall,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.27,0.7609999999999999,0,0.5031682970704731,0.33,0,0,0,0
10,10,10,댄스,winter,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.15,0.415,0,0.6968535468484371,0.091,0,0,0,0
10,10,10,댄스,winter,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.58,0.574,0,0.6968535468484371,0.028999999999999998,0,0,0,0
9,10,10,댄스,fall,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.59,0.847,0,0.5031682970704731,0.121,0,0,0,0
4,6,4,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.15,0.434,0.027102803738317756,0.39452528860234637,0.27399999999999997,0,0,0,0
10,10,10,댄스,winter,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.19,0.282,0,0.6968535468484371,0.124,0,0,0,0
1,2,1,댄스,summer,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.6,0.562,0.08307372793354102,0.39452528860234637,0.214,0,0,0,0
10,10,10,댄스,winter,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.31,0.44,0,0.6968535468484371,0.07400000000000001,0,0,0,0
9,10,9,댄스,fall,male,K_POP,Group,0.5443786982248521,0.2403846153846154,0.29,0.349,0,0.5031682970704731,0.07,0,0,0,0
4,4,5,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.53,0.907,0.0367601246105919,0.3040561632013515,0.841,0,0,0,0
10,10,10,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.24,0.191,0,0.3040561632013515,0.659,0,0,0,0
10,10,10,해외영화,summer,male,OST,Solo,0.4940828402366864,0.125,0.49,0.308,0,0.3040561632013515,0.598,0,0,0,0
10,10,10,해외영화,fall,male,OST,Solo,0.4940828402366864,0.125,0.09,0.154,0,0.48037013447816124,0.7070000000000001,0,0,0,0
